_RAJ2000,_DEJ2000,S1.4
129.0850417,-0.6231667,560.0
129.2005000,5.2188611,319.3
129.2667500,5.9701111,349.4
129.2833750,-3.5892778,100.5
129.3724583,4.7390278,151.9
129.3861250,-1.1900556,171.3
129.3915417,2.1143611,149.9
129.4078750,0.8519444,339.9
129.4382500,2.1505556,147.1
129.4551250,1.8613333,114.7
129.5594167,-0.4335000,138.0
129.5753750,-0.0435833,114.3
129.5965417,1.8358056,133.1
129.6300417,-1.5686944,524.0
129.6936667,-1.6862778,173.0
129.7234583,-0.6310278,563.4
129.7310417,0.7174444,180.7
129.7366250,-3.5021389,143.5
129.7965000,-2.0412222,208.1
129.8467500,6.1663333,116.7
129.9496250,-1.3716111,143.9
129.9549583,3.3317222,669.5
129.9567500,1.0741667,421.7
130.0680000,6.0541667,108.2
130.1564167,-3.2750556,259.4
130.1734583,3.3321944,263.0
130.2146667,-0.7597778,131.8
130.2610833,4.7919167,146.9
130.2677500,2.9818889,128.9
130.3497500,6.2701389,107.1
130.3631250,-3.8900000,133.5
130.4321250,-3.8897222,119.4
130.5491667,-1.8388889,133.5
130.5824583,4.7317778,147.9
130.7414583,7.3654444,726.7
130.8827083,0.4908056,111.5
130.8851667,-1.7066944,130.0
130.9039167,-3.0498611,186.9
130.9485417,2.8751667,173.9
131.2217500,0.6861111,141.3
131.2990417,6.8731944,109.4
131.3047917,-0.7196389,109.8
131.3213750,4.6630000,382.3
131.3800833,4.7150833,435.2
131.4332500,0.9602778,157.8
131.4584167,-0.8525833,113.6
131.4646667,0.7535278,126.4
131.4997917,7.0731667,306.3
131.5814583,1.8680278,136.6
131.6811250,2.0141389,152.6
131.6922500,2.2011111,184.0
131.7985417,2.5260556,114.5
131.8425417,2.8903889,188.2
131.8871667,-3.6776944,184.7
132.0554583,1.2397222,146.9
132.0598750,1.2663611,151.1
132.1317083,5.9173889,609.3
132.1680833,-0.5792222,131.4
132.1747500,5.9263889,623.2
132.2002083,-0.7881111,183.6
132.2523750,-4.0925000,304.0
132.3547917,6.1534722,121.9
132.3852500,4.9186389,183.3
132.4356250,6.0539167,257.9
132.6330417,-1.3740278,171.1
132.6695000,-0.3941667,241.5
132.8707917,2.2582222,103.3
132.8772500,2.7741667,142.2
132.9415000,2.9580000,110.6
133.0010417,2.4928056,151.0
133.0572500,-4.4212222,130.4
133.1037917,1.5585556,254.6
133.1152917,0.7086667,431.6
133.1635417,-0.2906944,118.9
133.1780417,-1.8485000,124.8
133.2555833,-1.8467500,123.5
133.2995833,-3.7133611,136.7
133.3092083,2.2483056,115.4
133.3429583,-2.9968611,100.0
133.3677083,-3.6855556,1354.0
133.3751667,0.0981111,100.8
133.4525417,6.9163056,790.0
133.5045417,7.4288056,108.4
133.5112500,7.4138056,117.3
133.5351250,2.2208333,124.0
133.5386667,-3.3918889,122.9
133.5465417,-0.3249722,483.4
133.6254167,-0.9513889,154.9
133.6461667,7.3400833,136.2
133.7304583,1.4180833,135.7
133.7822500,2.7565556,731.0
133.8286250,5.9084444,231.6
133.8405833,5.9220000,202.4
133.9054167,3.2043056,617.7
